,Image,Collection,Production,Date,Occasion,Multiple bill,Performances_ID,Normalised title,Original language,Composer,Original premiere,Original title,genre,Season,Directors,Title_Language,Leaflet_Language,Opmerking
6113,0034_1943-1944_00034-20230306_144355.jpg,1943/1944,Rienzi,1943-09-30,Eerste Nederlandsche opvoering,False,967532,Rienzi,DUI,Richard Wagner,1840,Rienzi,grand opera,1943-1944,Joris Diels,Unk,Dutch,https://www.schoonselhof.be/schoonselhoftz/toutenel%20frans.html
6114,0036_1943-1944_00036-20230306_144410.jpg,1943/1944,Herbergprinses,1943-10-02,,False,879147,Herbergprinses,NL,Jan Blockx,1896,Herbergprinses,zangspel,1943-1944,Joris Diels,NL,Dutch,
6115,0038_1943-1944_00038-20230306_144427.jpg,1943/1944,Herbergprinses,1943-10-03,,False,190861,Herbergprinses,NL,Jan Blockx,1896,Herbergprinses,zangspel,1943-1944,Joris Diels,NL,Dutch,
6116,0040_1943-1944_00040-20230306_144455.jpg,1943/1944,De Vrijschutter,1943-10-03,,False,718637,De Vrijschutter,DUI,Carl Maria von Weber,1821,Der Freischütz,romantische oper,1943-1944,Joris Diels,NL,Dutch,
6117,0042_1943-1944_00042-20230306_144519.jpg,1943/1944,De Graaf van Luxemburg,1943-10-05,,False,325534,De Graaf van Luxemburg,DUI,Franz Lehár,1909,Der Graf von Luxemburg,operette,1943-1944,Joris Diels,NL,Dutch,
6118,0046_1943-1944_00046-20230306_144625.jpg,1943/1944,Herbergprinses,1943-10-07,,False,343147,Herbergprinses,NL,Jan Blockx,1896,Herbergprinses,zangspel,1943-1944,Joris Diels,NL,Dutch,
6119,0048_1943-1944_00048-20230306_144638.jpg,1943/1944,De Vrijschutter,1943-10-09,,False,934081,De Vrijschutter,DUI,Carl Maria von Weber,1821,Der Freischütz,romantische oper,1943-1944,Joris Diels,NL,Dutch,
6120,0050_1943-1944_00050-20230306_144658.jpg,1943/1944,De Graaf van Luxemburg,1943-10-10,,False,111938,De Graaf van Luxemburg,DUI,Franz Lehár,1909,Der Graf von Luxemburg,operette,1943-1944,Joris Diels,NL,Dutch,
6121,0052_1943-1944_00052-20230306_144742.jpg,1943/1944,Rigoletto,1943-10-10,,False,366917,Rigoletto,ITA,Giuseppe Verdi,1851,Rigoletto,melodrama,1943-1944,Joris Diels,Unk,Dutch,
6122,0056_1943-1944_00056-20230306_144809.jpg,1943/1944,Dansvertooning,1943-10-12,,True,703451,Dansvertooning,?,?,?,?,ballet,1943-1944,Joris Diels,NL,Dutch,
6123,0056_1943-1944_00056-20230306_144809.jpg,1943/1944,De Sylphiden,1943-10-12,,True,703451,De Sylphiden,,Michel Brusselmans,?,De Sylphiden,ballet,1943-1944,Joris Diels,NL,Dutch,
6124,0056_1943-1944_00056-20230306_144809.jpg,1943/1944,Carnaval,1943-10-12,,True,703451,Carnaval,,Jaak Opsomer,1936,Carnaval,ballet,1943-1944,Joris Diels,Unk,Dutch,
6125,0056_1943-1944_00056-20230306_144809.jpg,1943/1944,Coppelia,1943-10-12,,True,703451,Coppelia,FR,Léo Delibes,1870,Coppélia,ballet,1943-1944,Joris Diels,Unk,Dutch,
6126,0056_1943-1944_00056-20230306_144809.jpg,1943/1944,De Koekoek,1943-10-12,,True,703451,De Koekoek,,Jaak Opsomer,?,De Koekoek,ballet,1943-1944,Joris Diels,NL,Dutch,
6127,0058_1943-1944_00058-20230306_144839.jpg,1943/1944,Rienzi,1943-10-13,Wehrmachsvorstellung,False,119027,Rienzi,DUI,Richard Wagner,1840,Rienzi,grand opera,1943-1944,Joris Diels,Unk,German,
6128,0060_1943-1944_00060-20230306_144908.jpg,1943/1944,De Vrijschutter,1943-10-14,,False,482252,De Vrijschutter,DUI,Carl Maria von Weber,1821,Der Freischütz,romantische oper,1943-1944,Joris Diels,NL,Dutch,
6129,0062_1943-1944_00062-20230306_144923.jpg,1943/1944,Rienzi,1943-10-15,Wehrmachsvorstellung,False,429696,Rienzi,DUI,Richard Wagner,1840,Rienzi,grand opera,1943-1944,Joris Diels,Unk,German,
6130,0064_1943-1944_00064-20230306_144938.jpg,1943/1944,Rienzi,1943-10-16,,False,863698,Rienzi,DUI,Richard Wagner,1840,Rienzi,grand opera,1943-1944,Joris Diels,Unk,Dutch,
6131,0066_1943-1944_00066-20230306_144956.jpg,1943/1944,Dansvertooning,1943-10-17,,True,384490,Dansvertooning,?,?,?,?,ballet,1943-1944,Joris Diels,NL,Dutch,
6132,0066_1943-1944_00066-20230306_144956.jpg,1943/1944,De Sylphiden,1943-10-17,,True,384490,De Sylphiden,,Michel Brusselmans,?,De Sylphiden,ballet,1943-1944,Joris Diels,NL,Dutch,
6133,0066_1943-1944_00066-20230306_144956.jpg,1943/1944,Carnaval,1943-10-17,,True,384490,Carnaval,,Jaak Opsomer,1936,Carnaval,ballet,1943-1944,Joris Diels,Unk,Dutch,
6134,0066_1943-1944_00066-20230306_144956.jpg,1943/1944,Coppelia,1943-10-17,,True,384490,Coppelia,FR,Léo Delibes,1870,Coppélia,ballet,1943-1944,Joris Diels,Unk,Dutch,
6135,0066_1943-1944_00066-20230306_144956.jpg,1943/1944,De Koekoek,1943-10-17,,True,384490,De Koekoek,,Jaak Opsomer,?,De Koekoek,ballet,1943-1944,Joris Diels,NL,Dutch,
6136,0068_1943-1944_00068-20230306_145023.jpg,1943/1944,Herbergprinses,1943-10-17,,False,305016,Herbergprinses,NL,Jan Blockx,1896,Herbergprinses,zangspel,1943-1944,Joris Diels,NL,Dutch,
6137,0070_1943-1944_00070-20230306_145055.jpg,1943/1944,De Graaf van Luxemburg,1943-10-19,,False,910843,De Graaf van Luxemburg,DUI,Franz Lehár,1909,Der Graf von Luxemburg,operette,1943-1944,Joris Diels,NL,Dutch,
6138,0072_1943-1944_00072-20230306_145125.jpg,1943/1944,Dansvertooning,1943-10-21,,True,543113,Dansvertooning,?,?,?,?,ballet,1943-1944,Joris Diels,NL,Dutch,
6139,0072_1943-1944_00072-20230306_145125.jpg,1943/1944,De Sylphiden,1943-10-21,,True,543113,De Sylphiden,,Michel Brusselmans,?,De Sylphiden,ballet,1943-1944,Joris Diels,NL,Dutch,
6140,0072_1943-1944_00072-20230306_145125.jpg,1943/1944,Carnaval,1943-10-21,,True,543113,Carnaval,,Jaak Opsomer,1936,Carnaval,ballet,1943-1944,Joris Diels,Unk,Dutch,
6141,0072_1943-1944_00072-20230306_145125.jpg,1943/1944,Coppelia,1943-10-21,,True,543113,Coppelia,FR,Léo Delibes,1870,Coppélia,ballet,1943-1944,Joris Diels,Unk,Dutch,
6142,0072_1943-1944_00072-20230306_145125.jpg,1943/1944,De Koekoek,1943-10-21,,True,543113,De Koekoek,,Jaak Opsomer,?,De Koekoek,ballet,1943-1944,Joris Diels,NL,Dutch,
6143,0074_1943-1944_00074-20230306_145142.jpg,1943/1944,De Vliegende Hollander,1943-10-23,,False,145032,De Vliegende Hollander,DUI,Richard Wagner,1843,Der fliegende Holländer,romantische oper,1943-1944,Joris Diels,NL,Dutch,
6144,0076_1943-1944_00076-20230306_145159.jpg,1943/1944,Rienzi,1943-10-24,,False,265396,Rienzi,DUI,Richard Wagner,1840,Rienzi,grand opera,1943-1944,Joris Diels,Unk,Dutch,
6145,0078_1943-1944_00078-20230306_145234.jpg,1943/1944,Dansvertooning,1943-10-24,,True,379175,Dansvertooning,?,?,?,?,ballet,1943-1944,Joris Diels,NL,Dutch,
6146,0078_1943-1944_00078-20230306_145234.jpg,1943/1944,De Sylphiden,1943-10-24,,True,379175,De Sylphiden,,Michel Brusselmans,?,De Sylphiden,ballet,1943-1944,Joris Diels,NL,Dutch,
6147,0078_1943-1944_00078-20230306_145234.jpg,1943/1944,Carnaval,1943-10-24,,True,379175,Carnaval,,Jaak Opsomer,1936,Carnaval,ballet,1943-1944,Joris Diels,Unk,Dutch,
6148,0078_1943-1944_00078-20230306_145234.jpg,1943/1944,Coppelia,1943-10-24,,True,379175,Coppelia,FR,Léo Delibes,1870,Coppélia,ballet,1943-1944,Joris Diels,Unk,Dutch,
6149,0078_1943-1944_00078-20230306_145234.jpg,1943/1944,De Koekoek,1943-10-24,,True,379175,De Koekoek,,Jaak Opsomer,?,De Koekoek,ballet,1943-1944,Joris Diels,NL,Dutch,
6150,0082_1943-1944_00082-20230306_145424.jpg,1943/1944,De Graaf van Luxemburg,1943-10-26,,False,820883,De Graaf van Luxemburg,DUI,Franz Lehár,1909,Der Graf von Luxemburg,operette,1943-1944,Joris Diels,NL,Dutch,
6151,0084_1943-1944_00084-20230306_145446.jpg,1943/1944,De Vliegende Hollander,1943-10-28,,False,599104,De Vliegende Hollander,DUI,Richard Wagner,1843,Der fliegende Holländer,romantische oper,1943-1944,Joris Diels,NL,Dutch,
6152,0086_1943-1944_00086-20230306_145504.jpg,1943/1944,Tosca,1943-10-30,,False,510919,Tosca,ITA,Giacomo Puccini,1900,Tosca,verismo opera,1943-1944,Joris Diels,Unk,Dutch,
6153,0088_1943-1944_00088-20230306_145519.jpg,1943/1944,Tosca,1943-10-31,,False,886100,Tosca,ITA,Giacomo Puccini,1900,Tosca,verismo opera,1943-1944,Joris Diels,Unk,Dutch,
6154,0090_1943-1944_00090-20230306_145540.jpg,1943/1944,Rienzi,1943-10-31,,False,484167,Rienzi,DUI,Richard Wagner,1840,Rienzi,grand opera,1943-1944,Joris Diels,Unk,Dutch,
6155,0094_1943-1944_00094-20230306_145704.jpg,1943/1944,De Graaf van Luxemburg,1943-11-01,,False,360634,De Graaf van Luxemburg,DUI,Franz Lehár,1909,Der Graf von Luxemburg,operette,1943-1944,Joris Diels,NL,Dutch,
6156,0096_1943-1944_00096-20230306_145727.jpg,1943/1944,De Vliegende Hollander,1943-11-01,,False,409527,De Vliegende Hollander,DUI,Richard Wagner,1843,Der fliegende Holländer,romantische oper,1943-1944,Joris Diels,NL,Dutch,
6157,0098_1943-1944_00098-20230306_145744.jpg,1943/1944,Rigoletto,1943-11-04,,False,269863,Rigoletto,ITA,Giuseppe Verdi,1851,Rigoletto,melodrama,1943-1944,Joris Diels,Unk,Dutch,
6158,0100_1943-1944_00100-20230306_145809.jpg,1943/1944,De Tooverfluit,1943-11-06,,False,382958,De Tooverfluit,DUI,Wolfgang Amadeus Mozart,1791,Die Zauberflöte,zangspel,1943-1944,Joris Diels,NL,Dutch,
6159,0102_1943-1944_00102-20230306_145853.jpg,1943/1944,Rigoletto,1943-11-07,,False,562086,Rigoletto,ITA,Giuseppe Verdi,1851,Rigoletto,melodrama,1943-1944,Joris Diels,Unk,Dutch,
6160,0104_1943-1944_00104-20230306_145916.jpg,1943/1944,De Vliegende Hollander,1943-11-07,,False,599725,De Vliegende Hollander,DUI,Richard Wagner,1843,Der fliegende Holländer,romantische oper,1943-1944,Joris Diels,NL,Dutch,
6161,0106_1943-1944_00106-20230306_145936.jpg,1943/1944,Der fliegende Holländer,1943-11-08,Wehrmachsvorstellung,False,405446,De Vliegende Hollander,DUI,Richard Wagner,1843,Der fliegende Holländer,romantische oper,1943-1944,Joris Diels,NL,German,
6162,0108_1943-1944_00108-20230306_150005.jpg,1943/1944,De Graaf van Luxemburg,1943-11-09,,False,573968,De Graaf van Luxemburg,DUI,Franz Lehár,1909,Der Graf von Luxemburg,operette,1943-1944,Joris Diels,NL,Dutch,
6163,0112_1943-1944_00112-20230306_150133.jpg,1943/1944,De Tooverfluit,1943-11-11,,False,319306,De Tooverfluit,DUI,Wolfgang Amadeus Mozart,1791,Die Zauberflöte,zangspel,1943-1944,Joris Diels,NL,Dutch,
6164,0114_1943-1944_00114-20230306_150156.jpg,1943/1944,Dansvertooning,1943-11-13,,True,433668,Dansvertooning,?,?,?,?,ballet,1943-1944,Joris Diels,NL,Dutch,
6165,0114_1943-1944_00114-20230306_150156.jpg,1943/1944,De Sylphiden,1943-11-13,,True,433668,De Sylphiden,,Michel Brusselmans,?,De Sylphiden,ballet,1943-1944,Joris Diels,NL,Dutch,
6166,0114_1943-1944_00114-20230306_150156.jpg,1943/1944,Carnaval,1943-11-13,,True,433668,Carnaval,,Jaak Opsomer,1936,Carnaval,ballet,1943-1944,Joris Diels,Unk,Dutch,
6167,0114_1943-1944_00114-20230306_150156.jpg,1943/1944,Coppelia,1943-11-13,,True,433668,Coppelia,FR,Léo Delibes,1870,Coppélia,ballet,1943-1944,Joris Diels,Unk,Dutch,
6168,0114_1943-1944_00114-20230306_150156.jpg,1943/1944,De Koekoek,1943-11-13,,True,433668,De Koekoek,,Jaak Opsomer,?,De Koekoek,ballet,1943-1944,Joris Diels,NL,Dutch,
6169,0116_1943-1944_00116-20230306_150257.jpg,1943/1944,De Graaf van Luxemburg,1943-11-14,,False,227533,De Graaf van Luxemburg,DUI,Franz Lehár,1909,Der Graf von Luxemburg,operette,1943-1944,Joris Diels,NL,Dutch,
6170,0118_1943-1944_00118-20230306_150318.jpg,1943/1944,Monika,1943-11-14,,False,703223,Monika,DUI,Nico Dostal,1937,Monika,operette,1943-1944,Joris Diels,Unk,Dutch,
6171,0120_1943-1944_00120-20230306_150346.jpg,1943/1944,Monika,1943-11-16,,False,408028,Monika,DUI,Nico Dostal,1937,Monika,operette,1943-1944,Joris Diels,Unk,Dutch,
6172,0123_1943-1944_00123-20230306_150408.jpg,1943/1944,Der fliegende Holländer,1943-11-17,,False,141030,De Vliegende Hollander,DUI,Richard Wagner,1843,Der fliegende Holländer,romantische oper,1943-1944,Joris Diels,NL,German,
6173,0125_1943-1944_00125-20230306_150432.jpg,1943/1944,Tosca,1943-11-18,,False,130446,Tosca,ITA,Giacomo Puccini,1900,Tosca,verismo opera,1943-1944,Joris Diels,Unk,Dutch,
6174,0127_1943-1944_00127-20230306_150505.jpg,1943/1944,De Graaf van Luxemburg,1943-11-19,,False,934464,De Graaf van Luxemburg,DUI,Franz Lehár,1909,Der Graf von Luxemburg,operette,1943-1944,Joris Diels,NL,Dutch,
6175,0129_1943-1944_00129-20230306_150544.jpg,1943/1944,Rigoletto,1943-11-20,,False,675323,Rigoletto,ITA,Giuseppe Verdi,1851,Rigoletto,melodrama,1943-1944,Joris Diels,Unk,Dutch,
6176,0131_1943-1944_00131-20230306_150616.jpg,1943/1944,Monika,1943-11-21,,False,763629,Monika,DUI,Nico Dostal,1937,Monika,operette,1943-1944,Joris Diels,Unk,Dutch,
6177,0133_1943-1944_00133-20230306_150656.jpg,1943/1944,De Tooverfluit,1943-11-21,,False,232923,De Tooverfluit,DUI,Wolfgang Amadeus Mozart,1791,Die Zauberflöte,zangspel,1943-1944,Joris Diels,NL,Dutch,
6178,0135_1943-1944_00135-20230306_150734.jpg,1943/1944,Monika,1943-11-23,,False,246577,Monika,DUI,Nico Dostal,1937,Monika,operette,1943-1944,Joris Diels,Unk,Dutch,
6179,0137_1943-1944_00137-20230306_150758.jpg,1943/1944,Rienzi,1943-11-25,,False,739366,Rienzi,DUI,Richard Wagner,1840,Rienzi,grand opera,1943-1944,Joris Diels,Unk,Dutch,
6180,0139_1943-1944_00139-20230306_150829.jpg,1943/1944,Tannhäuser,1943-11-27,,False,141024,Tannhauser,DUI,Richard Wagner,1845,Tannhäuser,romantische oper,1943-1944,Joris Diels,Unk,Dutch,
6181,0141_1943-1944_00141-20230306_150847.jpg,1943/1944,De Vliegende Hollander,1943-11-28,,False,862303,De Vliegende Hollander,DUI,Richard Wagner,1843,Der fliegende Holländer,romantische oper,1943-1944,Joris Diels,NL,Dutch,
6182,0143_1943-1944_00143-20230306_150926.jpg,1943/1944,De Graaf van Luxemburg,1943-11-28,,False,491794,De Graaf van Luxemburg,DUI,Franz Lehár,1909,Der Graf von Luxemburg,operette,1943-1944,Joris Diels,NL,Dutch,
6183,0145_1943-1944_00145-20230306_150952.jpg,1943/1944,Monika,1943-11-29,,False,843390,Monika,DUI,Nico Dostal,1937,Monika,operette,1943-1944,Joris Diels,Unk,Dutch,
6184,0147_1943-1944_00147-20230306_151014.jpg,1943/1944,Monika,1943-11-30,,False,377564,Monika,DUI,Nico Dostal,1937,Monika,operette,1943-1944,Joris Diels,Unk,Dutch,
6185,0151_1943-1944_00151-20230306_151106.jpg,1943/1944,Tannhäuser,1943-12-02,,False,258887,Tannhauser,DUI,Richard Wagner,1845,Tannhäuser,romantische oper,1943-1944,Joris Diels,Unk,Dutch,
6186,0153_1943-1944_00153-20230306_151729.jpg,1943/1944,Figaro’s Bruiloft,1943-12-04,,False,485027,Figaro’s Bruiloft,ITA,Wolfgang Amadeus Mozart,1786,Le nozze di Figaro,oepra buffa,1943-1944,Joris Diels,NL,Dutch,
6187,0155_1943-1944_00155-20230306_151849.jpg,1943/1944,Tannhäuser,1943-12-05,,False,926981,Tannhauser,DUI,Richard Wagner,1845,Tannhäuser,romantische oper,1943-1944,Joris Diels,Unk,Dutch,
6188,0157_1943-1944_00157-20230306_151911.jpg,1943/1944,Tosca,1943-12-05,,False,310355,Tosca,ITA,Giacomo Puccini,1900,Tosca,verismo opera,1943-1944,Joris Diels,Unk,Dutch,
6189,0159_1943-1944_00159-20230306_151932.jpg,1943/1944,De Graaf van Luxemburg,1943-12-07,,False,472696,De Graaf van Luxemburg,DUI,Franz Lehár,1909,Der Graf von Luxemburg,operette,1943-1944,Joris Diels,NL,Dutch,
6190,0161_1943-1944_00161-20230306_152012.jpg,1943/1944,De Vledermuis,1943-12-08,,False,980481,De Vledermuis,DUI,Johan Strauss,1874,Die Fledermaus,operetta,1943-1944,Joris Diels,NL,Dutch,
6191,0163_1943-1944_00163-20230306_152109.jpg,1943/1944,Monika,1943-12-09,,False,796550,Monika,DUI,Nico Dostal,1937,Monika,operette,1943-1944,Joris Diels,Unk,Dutch,
6192,0165_1943-1944_00165-20230306_152131.jpg,1943/1944,De Graaf van Luxemburg,1943-12-11,,False,662558,De Graaf van Luxemburg,DUI,Franz Lehár,1909,Der Graf von Luxemburg,operette,1943-1944,Joris Diels,NL,Dutch,
6193,0167_1943-1944_00167-20230306_152205.jpg,1943/1944,Figaro’s Bruiloft,1943-12-12,,False,388168,Figaro’s Bruiloft,ITA,Wolfgang Amadeus Mozart,1786,Le nozze di Figaro,oepra buffa,1943-1944,Joris Diels,NL,Dutch,
6194,0169_1943-1944_00169-20230306_152228.jpg,1943/1944,De Vliegende Hollander,1943-12-12,,False,674193,De Vliegende Hollander,DUI,Richard Wagner,1843,Der fliegende Holländer,romantische oper,1943-1944,Joris Diels,NL,Dutch,
6195,0171_1943-1944_00171-20230306_152305.jpg,1943/1944,Rigoletto,1943-12-13,Wehrmachsvorstellung,False,691680,Rigoletto,ITA,Giuseppe Verdi,1851,Rigoletto,melodrama,1943-1944,Joris Diels,Unk,German,
6196,0173_1943-1944_00173-20230306_152326.jpg,1943/1944,Monika,1943-12-14,,False,524913,Monika,DUI,Nico Dostal,1937,Monika,operette,1943-1944,Joris Diels,Unk,Dutch,
6197,0175_1943-1944_00175-20230306_152356.jpg,1943/1944,De Graaf van Luxemburg,1943-12-15,,False,239162,De Graaf van Luxemburg,DUI,Franz Lehár,1909,Der Graf von Luxemburg,operette,1943-1944,Joris Diels,NL,Dutch,
6198,0177_1943-1944_00177-20230306_152453.jpg,1943/1944,Figaro’s Bruiloft,1943-12-16,,False,506550,Figaro’s Bruiloft,ITA,Wolfgang Amadeus Mozart,1786,Le nozze di Figaro,oepra buffa,1943-1944,Joris Diels,NL,Dutch,
6199,0179_1943-1944_00179-20230306_152527.jpg,1943/1944,Don Carlos,1943-12-18,,False,434609,Don Carlos,ITA,Giuseppe Verdi,1867,Don Carlos,romantische opera,1943-1944,Joris Diels,Unk,Dutch,
6200,0181_1943-1944_00181-20230306_152555.jpg,1943/1944,De Lustige Weduwe,1943-12-19,,False,726081,De Lustige Weduwe,DUI,Franz Lehár,1906,Die lustige Witwe,operette,1943-1944,Joris Diels,NL,Dutch,
6201,0183_1943-1944_00183-20230306_152614.jpg,1943/1944,Tannhäuser,1943-12-19,,False,895683,Tannhauser,DUI,Richard Wagner,1845,Tannhäuser,romantische oper,1943-1944,Joris Diels,Unk,Dutch,
6202,0185_1943-1944_00185-20230306_152645.jpg,1943/1944,Rienzi,1943-12-21,,False,224907,Rienzi,DUI,Richard Wagner,1840,Rienzi,grand opera,1943-1944,Joris Diels,Unk,Dutch,
6203,0187_1943-1944_00187-20230306_152703.jpg,1943/1944,De Lustige Weduwe,1943-12-23,,False,826908,De Lustige Weduwe,DUI,Franz Lehár,1906,Die lustige Witwe,operette,1943-1944,Joris Diels,NL,Dutch,
6204,0189_1943-1944_00189-20230306_152728.jpg,1943/1944,Lohengrin,1943-12-26,,False,885567,Lohengrin,DUI,Richard Wagner,1850,Lohengrin,romantische oper,1943-1944,Joris Diels,Unk,Dutch,
6205,0191_1943-1944_00191-20230306_152750.jpg,1943/1944,Don Carlos,1943-12-26,,False,252361,Don Carlos,ITA,Giuseppe Verdi,1867,Don Carlos,romantische opera,1943-1944,Joris Diels,Unk,Dutch,
6206,0193_1943-1944_00193-20230306_152816.jpg,1943/1944,Rigoletto,1943-12-26,,False,372484,Rigoletto,ITA,Giuseppe Verdi,1851,Rigoletto,melodrama,1943-1944,Joris Diels,Unk,Dutch,
6207,0195_1943-1944_00195-20230306_153531.jpg,1943/1944,Monika,1943-12-28,,False,296638,Monika,DUI,Nico Dostal,1937,Monika,operette,1943-1944,Joris Diels,Unk,Dutch,
6208,0197_1943-1944_00197-20230306_153603.jpg,1943/1944,Rigoletto,1943-12-29,Wehrmachsvorstellung,False,939551,Rigoletto,ITA,Giuseppe Verdi,1851,Rigoletto,melodrama,1943-1944,Joris Diels,Unk,German,
6209,0199_1943-1944_00199-20230306_153633.jpg,1943/1944,Don Carlos,1943-12-30,,False,391211,Don Carlos,ITA,Giuseppe Verdi,1867,Don Carlos,romantische opera,1943-1944,Joris Diels,Unk,Dutch,
6210,0203_1943-1944_00203-20230306_153727.jpg,1943/1944,Monika,1944-01-01,,False,409933,Monika,DUI,Nico Dostal,1937,Monika,operette,1943-1944,Joris Diels,Unk,Dutch,
6211,0205_1943-1944_00205-20230306_153744.jpg,1943/1944,De Tooverfluit,1944-01-02,,False,509129,De Tooverfluit,DUI,Wolfgang Amadeus Mozart,1791,Die Zauberflöte,zangspel,1943-1944,Joris Diels,NL,Dutch,
6212,0207_1943-1944_00207-20230306_153802.jpg,1943/1944,Don Carlos,1944-01-02,,False,913635,Don Carlos,ITA,Giuseppe Verdi,1867,Don Carlos,romantische opera,1943-1944,Joris Diels,Unk,Dutch,
6213,0209_1943-1944_00209-20230306_153821.jpg,1943/1944,Monika,1944-01-04,,False,621271,Monika,DUI,Nico Dostal,1937,Monika,operette,1943-1944,Joris Diels,Unk,Dutch,
6214,0211_1943-1944_00211-20230306_153845.jpg,1943/1944,Rienzi,1944-01-06,,False,430423,Rienzi,DUI,Richard Wagner,1840,Rienzi,grand opera,1943-1944,Joris Diels,Unk,Dutch,
6215,0213_1943-1944_00213-20230306_153910.jpg,1943/1944,De Vogelhandelaar,1944-01-08,,False,473468,De Vogelhandelaar,DUI,Carl Zeller,1891,Der Vogelhändler,operette,1943-1944,Joris Diels,NL,Dutch,
6216,0215_1943-1944_00215-20230306_153938.jpg,1943/1944,De Vogelhandelaar,1944-01-09,,False,349206,De Vogelhandelaar,DUI,Carl Zeller,1891,Der Vogelhändler,operette,1943-1944,Joris Diels,NL,Dutch,
6217,0217_1943-1944_00217-20230306_154025.jpg,1943/1944,Figaro’s Bruiloft,1944-01-09,,False,743712,Figaro’s Bruiloft,ITA,Wolfgang Amadeus Mozart,1786,Le nozze di Figaro,oepra buffa,1943-1944,Joris Diels,,Dutch,
6218,0219_1943-1944_00219-20230306_154049.jpg,1943/1944,Der Vogelhändler,1944-01-10,Wehrmachsvorstellung,False,350128,De Vogelhandelaar,DUI,Carl Zeller,1891,Der Vogelhändler,operette,1943-1944,Joris Diels,NL,German,
6219,0221_1943-1944_00221-20230306_154143.jpg,1943/1944,De Vogelhandelaar,1944-01-11,,False,135799,De Vogelhandelaar,DUI,Carl Zeller,1891,Der Vogelhändler,operette,1943-1944,Joris Diels,NL,Dutch,
6220,0224_1943-1944_00224-20230306_154302.jpg,1943/1944,Monika,1944-01-12,,False,937471,Monika,DUI,Nico Dostal,1937,Monika,operette,1943-1944,Joris Diels,Unk,Dutch,
6221,0226_1943-1944_00226-20230306_154328.jpg,1943/1944,De Vogelhandelaar,1944-01-13,,False,793818,De Vogelhandelaar,DUI,Carl Zeller,1891,Der Vogelhändler,operette,1943-1944,Joris Diels,NL,Dutch,
6222,0228_1943-1944_00228-20230306_154354.jpg,1943/1944,Madame Butterfly,1944-01-15,,False,191894,Madame Butterfly,ITA,Giacomo Puccini,1904,Madama Butterfly,opera seria,1943-1944,Joris Diels,NL,Dutch,
6223,0230_1943-1944_00230-20230306_154418.jpg,1943/1944,De Vrijschutter,1944-01-16,,False,804759,De Vrijschutter,DUI,Carl Maria von Weber,1821,Der Freischütz,romantische oper,1943-1944,Joris Diels,NL,Dutch,
6224,0232_1943-1944_00232-20230306_154438.jpg,1943/1944,De Vogelhandelaar,1944-01-16,,False,462541,De Vogelhandelaar,DUI,Carl Zeller,1891,Der Vogelhändler,operette,1943-1944,Joris Diels,NL,Dutch,
6225,0234_1943-1944_00234-20230306_154456.jpg,1943/1944,De Vogelhandelaar,1944-01-18,,False,152838,De Vogelhandelaar,DUI,Carl Zeller,1891,Der Vogelhändler,operette,1943-1944,Joris Diels,NL,Dutch,
6226,0236_1943-1944_00236-20230306_154516.jpg,1943/1944,Madame Butterfly,1944-01-20,,False,792972,Madame Butterfly,ITA,Giacomo Puccini,1904,Madama Butterfly,opera seria,1943-1944,Joris Diels,NL,Dutch,
6227,0238_1943-1944_00238-20230306_154550.jpg,1943/1944,Tristan en Isolde,1944-01-22,,False,871059,Tristan en Isolde,DUI,Richard Wagner,1860,Tristan und Isolde,gesamtkunstwerk,1943-1944,Joris Diels,NL,Dutch,
6228,0240_1943-1944_00240-20230306_154608.jpg,1943/1944,De Vledermuis,1944-01-23,,False,437017,De Vledermuis,DUI,Johan Strauss,1874,Die Fledermaus,operetta,1943-1944,Joris Diels,NL,Dutch,
6229,0242_1943-1944_00242-20230306_154653.jpg,1943/1944,Madame Butterfly,1944-01-23,,False,517398,Madame Butterfly,ITA,Giacomo Puccini,1904,Madama Butterfly,opera seria,1943-1944,Joris Diels,NL,Dutch,
6230,0244_1943-1944_00244-20230306_154721.jpg,1943/1944,Der Vogelhändler,1944-01-24,Wehrmachsvorstellung,False,283950,De Vogelhandelaar,DUI,Carl Zeller,1891,Der Vogelhändler,operette,1943-1944,Joris Diels,NL,German,
6231,0246_1943-1944_00246-20230306_154842.jpg,1943/1944,De Vogelhandelaar,1944-01-25,,False,758312,De Vogelhandelaar,DUI,Carl Zeller,1891,Der Vogelhändler,operette,1943-1944,Joris Diels,NL,Dutch,
6232,0248_1943-1944_00248-20230306_154908.jpg,1943/1944,Monika,1944-01-26,,False,697290,Monika,DUI,Nico Dostal,1937,Monika,operette,1943-1944,Joris Diels,Unk,Dutch,
6233,0250_1943-1944_00250-20230306_154933.jpg,1943/1944,Tannhäuser,1944-01-27,,False,316318,Tannhauser,DUI,Richard Wagner,1845,Tannhäuser,romantische oper,1943-1944,Joris Diels,Unk,Dutch,
6234,0252_1943-1944_00252-20230306_154959.jpg,1943/1944,Dansvertooning II,1944-01-29,,True,403351,Dansvertooning II,,?,?,?,ballet,1943-1944,Joris Diels,NL,Dutch,
6235,0252_1943-1944_00252-20230306_154959.jpg,1943/1944,Milenka,1944-01-29,,True,403351,Milenka,FR,Jan Blockx,1888,Milenka,pantomime,1943-1944,Joris Diels,Unk,Dutch,
