,Image,Collection,Production,Date,Occasion,Leaflet_Language,Opmerking,Multiple bill,Performances_ID,Normalised title,Original language,Composer,Original premiere,Original title,genre,Title_Language,Season
1552,1937-1938_00196-20230218_164534.jpg,1937-1938,De Rozenkavalier,1938-02-13,,Dutch,,False,794681,De Rozenkavalier,DUI,Richard Strauss,1911,Der Rosenkavalier,comic-fantasy,NL,1937-1938
1554,1937-1938_00198-20230218_164550.jpg,1937-1938,Walsdroom,1938-02-15,gala,Dutch,,False,955123,Ein Walzertraum,DUI,Oscar Straus,1907,Ein Walzertraum,operetta,DUI,1937-1938
1556,1937-1938_00200-20230218_164607.jpg,1937-1938,Hoffman’s Vertellingen,1938-02-17,,Dutch,,False,280984,Hoffman’s Vertellingen,N/A,N/A,N/A,N/A,N/A,N/A,1937-1938
1558,1937-1938_00202-20230218_164623.jpg,1937-1938,De Rozenkavalier,1938-02-19,,Dutch,,False,319611,De Rozenkavalier,DUI,Richard Strauss,1911,Der Rosenkavalier,comic-fantasy,NL,1937-1938
1560,1937-1938_00204-20230218_164638.jpg,1937-1938,Hoffman’s Vertellingen,1938-02-20,,Dutch,,False,898841,Hoffman’s Vertellingen,N/A,N/A,N/A,N/A,N/A,N/A,1937-1938
1562,1937-1938_00206-20230218_164653.jpg,1937-1938,Manon,1938-02-20,,Dutch,,False,135172,Manon,FR,Jules Massenet,1884,Manon,komische oper,NL,1937-1938
1564,1937-1938_00208-20230218_164715.jpg,1937-1938,Anna-Marie,1938-02-22,GAKVO-gala,Dutch,,False,487182,Anna-Marie,SWE,Felix Körling,1912,Anne-Marie,overture,Unk,1937-1938
1566,1937-1938_00210-20230218_164732.jpg,1937-1938,Aïda,1938-02-24,,Dutch,,False,765430,Aïda,ITA,Giuseppe Verdi,1872,Aïda,opera,Unk,1937-1938
1568,1937-1938_00212-20230218_164749.jpg,1937-1938,Zwarte Viooltjes,1938-02-26,,Dutch,,False,215797,Zwarte Viooltjes,NL,August Baeyens,1937,Zwarte Viooltjes,operette,NL,1937-1938
1570,1937-1938_00214-20230218_164810.jpg,1937-1938,Manon,1938-02-27,,Dutch,,False,463422,Manon,FR,Jules Massenet,1884,Manon,komische oper,NL,1937-1938
1572,1937-1938_00216-20230218_164856.jpg,1937-1938,Zwarte Viooltjes,1938-02-27,,Dutch,,False,145239,Zwarte Viooltjes,NL,August Baeyens,1937,Zwarte Viooltjes,operette,NL,1937-1938
1574,1937-1938_00218-20230218_164911.jpg,1937-1938,Walsdroom,1938-02-28,,Dutch,,False,695319,Ein Walzertraum,DUI,Oscar Straus,1907,Ein Walzertraum,operetta,DUI,1937-1938
1576,1937-1938_00220-20230218_164928.jpg,1937-1938,Zwarte Viooltjes,1938-03-01,,Dutch,,False,940331,Zwarte Viooltjes,NL,August Baeyens,1937,Zwarte Viooltjes,operette,NL,1937-1938
1578,1937-1938_00222-20230218_164944.jpg,1937-1938,Tosca,1938-03-03,,Dutch,,False,265058,Tosca,ITA,Giacomo Puccini,1900,Tosca,verismo opera,Unk,1937-1938
1580,1937-1938_00224-20230218_165016.jpg,1937-1938,Anna-Marie,1938-03-05,,Dutch,,False,142453,Anna-Marie,SWE,Felix Körling,1912,Anne-Marie,overture,Unk,1937-1938
1582,1937-1938_00226-20230218_165030.jpg,1937-1938,Het Land van den Glimlach,1938-03-06,,Dutch,,False,551037,Het Land van den Glimlach,DUI,Franz Lehár,1923,Das Land des Lächelns,leichte oper,NL,1937-1938
