,Image,Collection,Production,Date,Occasion,Multiple bill,Performances_ID,Normalised title,Original language,Composer,Original premiere,Original title,genre,Season,Directors,Title_Language
84,K.V.O. programmas 1893-97_00179-20211201_120722.jpg,1893-1897,Ondine,1895-08-01,,False,340421,Ondine,DUI,Albert Lortzing,1845,Undine,toverzangspel,1894-1895,Edward Keurvels & Henry Fontaine,Unk
85,K.V.O. programmas 1893-97_00181-20211201_120753.jpg,1893-1897,Ondine,1895-01-12,,False,869751,Ondine,DUI,Albert Lortzing,1845,Undine,toverzangspel,1894-1895,Edward Keurvels & Henry Fontaine,Unk
86,K.V.O. programmas 1893-97_00183-20211201_120821.jpg,1893-1897,Ondine,1895-01-15,,False,616101,Ondine,DUI,Albert Lortzing,1845,Undine,toverzangspel,1894-1895,Edward Keurvels & Henry Fontaine,Unk
87,K.V.O. programmas 1893-97_00183-20211201_120821.jpg,1893-1897,Ondine,1895-01-19,,False,815569,Ondine,DUI,Albert Lortzing,1845,Undine,toverzangspel,1894-1895,Edward Keurvels & Henry Fontaine,Unk
88,K.V.O. programmas 1893-97_00185-20211201_120840.jpg,1893-1897,Czaar en Timmerman,1895-01-22,Feestavond,False,863650,Czaar en Timmerman,DUI,Albert Lortzing,1837,Zar und Zimmermann,zangspel,1894-1895,Edward Keurvels & Henry Fontaine,NL
89,K.V.O. programmas 1893-97_00187-20211201_121011.jpg,1893-1897,Tannhauser,1895-01-26,,False,571346,Tannhauser,DUI,Richard Wagner,1845,Tannhäuser,romantische oper,1894-1895,Edward Keurvels & Henry Fontaine,Unk
90,K.V.O. programmas 1893-97_00193-20211201_121111.jpg,1893-1897,Tannhauser,1895-01-29,,False,544442,Tannhauser,DUI,Richard Wagner,1845,Tannhäuser,romantische oper,1894-1895,Edward Keurvels & Henry Fontaine,Unk
91,K.V.O. programmas 1893-97_00195-20211201_121132.jpg,1893-1897,Tannhauser,1895-02-02,Volgens de nota van Verbruggen is deze voorstelling vervangen door De Vliegende Hollander,False,366898,Tannhauser,DUI,Richard Wagner,1845,Tannhäuser,romantische oper,1894-1895,Edward Keurvels & Henry Fontaine,Unk
92,K.V.O. programmas 1893-97_00197-20211201_121200.jpg,1893-1897,Ondine,1895-02-05,,False,703810,Ondine,DUI,Albert Lortzing,1845,Undine,toverzangspel,1894-1895,Edward Keurvels & Henry Fontaine,Unk
93,K.V.O. programmas 1893-97_00199-20211201_121247.jpg,1893-1897,Tannhauser,1895-02-09,,False,916416,Tannhauser,DUI,Richard Wagner,1845,Tannhäuser,romantische oper,1894-1895,Edward Keurvels & Henry Fontaine,Unk
94,K.V.O. programmas 1893-97_00203-20211201_121340.jpg,1893-1897,Ondine,1895-02-12,,False,670163,Ondine,DUI,Albert Lortzing,1845,Undine,toverzangspel,1894-1895,Edward Keurvels & Henry Fontaine,Unk
95,K.V.O. programmas 1893-97_00205-20211201_121359.jpg,1893-1897,Tannhauser,1895-02-16,,False,934860,Tannhauser,DUI,Richard Wagner,1845,Tannhäuser,romantische oper,1894-1895,Edward Keurvels & Henry Fontaine,Unk
96,K.V.O. programmas 1893-97_00207-20211201_121435.jpg,1893-1897,Zriny,1895-02-19,Eerste vertoning,False,860260,Zriny,NL,Albert De Vleeshouwer,?,?,lyrisch treurspel,1894-1895,Edward Keurvels & Henry Fontaine,Unk
97,K.V.O. programmas 1893-97_00211-20211201_121513.jpg,1893-1897,Ondine,1895-02-26,,False,649540,Ondine,DUI,Albert Lortzing,1845,Undine,toverzangspel,1894-1895,Edward Keurvels & Henry Fontaine,Unk
98,K.V.O. programmas 1893-97_00213-20211201_121634.jpg,1893-1897,Zriny,1895-03-02,,False,967895,Zriny,NL,Albert De Vleeshouwer,?,?,lyrisch treurspel,1894-1895,Edward Keurvels & Henry Fontaine,Unk
99,K.V.O. programmas 1893-97_00215-20211201_121653.jpg,1893-1897,De Vrijschutter,1895-03-05,Feestavond,False,916679,De Vrijschutter,DUI,Carl Maria von Weber,1821,Der Freischütz,romantische oper,1894-1895,Edward Keurvels & Henry Fontaine,NL
100,K.V.O. programmas 1893-97_00215-20211201_121653.jpg,1893-1897,Euryanthe,1895-03-05,Feestavond,False,972044,Euryanthe,DUI,Carl Maria von Weber,1823,Euryanthe,romantisch zangspel,1894-1895,Edward Keurvels & Henry Fontaine,Unk
101,K.V.O. programmas 1893-97_00215-20211201_121653.jpg,1893-1897,Ondine,1895-03-05,Feestavond,False,345831,Ondine,DUI,Albert Lortzing,1845,Undine,toverzangspel,1894-1895,Edward Keurvels & Henry Fontaine,Unk
102,K.V.O. programmas 1893-97_00218-20211201_121758.jpg,1893-1897,Zriny,1895-03-12,,False,320917,Zriny,NL,Albert De Vleeshouwer,?,?,lyrisch treurspel,1894-1895,Edward Keurvels & Henry Fontaine,Unk
103,K.V.O. programmas 1893-97_00220-20211201_121818.jpg,1893-1897,Czaar en Timmerman,1895-03-16,,False,804737,Czaar en Timmerman,DUI,Albert Lortzing,1837,Zar und Zimmermann,zangspel,1894-1895,Edward Keurvels & Henry Fontaine,NL
104,K.V.O. programmas 1893-97_00222-20211201_121836.jpg,1893-1897,Ondine,1895-03-19,Feestavond,False,406575,Ondine,DUI,Albert Lortzing,1845,Undine,toverzangspel,1894-1895,Edward Keurvels & Henry Fontaine,Unk
105,K.V.O. programmas 1893-97_00224-20211201_121854.jpg,1893-1897,Fidelio,1895-03-23,Eerste vertoning,False,918023,Fidelio,DUI,Ludwig van Beethoven,1805,Fidelio,rettungsoper,1894-1895,Edward Keurvels & Henry Fontaine,Unk
