Date	Production
3/3/1944	Lohengrin
5/3/1944	Madame Butterfly
5/3/1944	Monika
6/3/1944	6 de Symfonisch Concert 
7/3/1944	Monika
9/3/1944	Monika
12/3/1944	Orpheus
12/3/1944	Madame Butterfly
13/3/1944	Pianorecital Eduardo 
14/3/1944	Pianorecital Delpuys 
14/3/1944	Werther
16/3/1944	Ballet Tambolene 
16/3/1944	Salomé 
18/3/1944	Dans - en zangavond 
19/3/1944	Monika
19/3/1944	Ballet Tambolene 
19/3/1944	Salomé 
20/3/1944	Monika
21/3/1944	Ballet Tambolene 
21/3/1944	Salomé 
23/3/1944	Manina
24/3/1944	Strijkkwartet De Groot 
26/3/1944	De Lustige Weduwe
26/3/1944	Werther
28/3/1944	Monika
30/3/1944	Werther
2/4/1944	Manina
2/4/1944	De Lustige Weduwe
4/4/1944	De Lustige Weduwe
7/4/1944	Parsifal
9/4/1944	Manon
9/4/1944	Manina
10/4/1944	Parsifal
11/4/1944	Manina
13/4/1944	Manon
15/4/1944	Parsifal
16/4/1944	De Barbier van Sevilla
16/4/1944	Monika
17/4/1944	Symfonieconcert
18/4/1944	Manon
20/4/1944	Lohengrin
22/4/1944	Manina
23/4/1944	Monika
23/4/1944	Lohengrin
